SMILES,Label,Influence
Nc1nccc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1[N+](=O)[O-],4.028,2239389786483.8896
COCC[C@H](NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(=O)O,3.456,1904631605296.7258
OC[C@H]1CC[C@H](Nc2ccc3nnc(-c4ccccc4)n3n2)CC1,3.426,1903939819403.5613
CN(C(=O)Cc1ccccc1)[C@H]1CCN(Cc2cn(C)nn2)C1,3.36,1842011638345.2148
COc1cccc(C(=O)NCCCNc2cc(C)ncn2)c1,3.33,1828644573171.2625
CC(C)CCN1CCC(N(C)C(=O)c2cccn3ccnc23)CC1,3.24,1815940997459.3176
N[C@H]1CC[C@@H](C(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)C1,3.266,1798517942500.2317
N[C@@H]1CC[C@@H](C(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)C1,3.266,1798247682944.1633
O=S(=O)(NC[C@@H](c1ccccc1)N1CCOCC1)c1cccnc1,3.27,1790302239621.3823
O=S(=O)(NC[C@H](c1ccccc1)N1CCOCC1)c1cccnc1,3.27,1789816811516.3557
COc1cccc(C(=O)NCCOc2ncccc2Cl)c1,3.25,1789179301207.899
O=S(=O)(NC[C@@H](c1ccccc1)N1CCCC1)c1cccnc1,3.27,1787567236602.7068
COc1ccc(C(=O)Nc2cccc(C(N)=O)n2)cc1OC,3.228,1772694499935.0405
CNC(=O)c1ccc(Nc2cnc(OC)c(C)c2)cc1F,3.182,1751833186371.8813
CC(=O)N1CCC[C@@H](C(=O)Nc2cccc3cccnc32)C1,3.084,1722625896530.894
O=C(C#Cc1ccc2c(c1)OCO2)Nc1ccc(-n2ccnc2)nc1,3.134,1722607433776.9106
CN(C(=O)Cc1ccccc1)[C@@H]1CCN(CCc2ccnn2C)C1,3.14,1719396471936.3843
CN1CCCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1,3.132,1718134602057.2393
CN(C(=O)Cc1ccccc1)[C@H]1CCN(CC[C@H]2CCCO2)C1,3.14,1717401247717.305
CN1CC[C@@H]2CN(CCc3ccc4c(c3)CCO4)C[C@@H]2C1,3.116,1715873119115.4692
CN1CCOc2cc(COCc3ccccc3)cnc21,3.06,1703333180139.479
COc1ccc(NC(=O)c2cnn(-c3ccccc3F)c2)cn1,3.076,1697530168618.1228
COC[C@@H](NC(=O)c1cc2ccsc2[nH]1)c1ccco1,3.098,1686181222470.941
O=C(NCC1CC(NCc2ncccn2)C1)c1cccc2ccccc21,3.004,1667310229122.5923
CSc1ccc(NC(=O)c2ccc(N3CCOCC3)nc2)cn1,3.004,1648893542908.0876
C=CCCC(=O)N1CCN(Cc2ccc(OC)c(Cl)c2)CC1,2.942,1643153438349.9602
CC(C)[C@H](NC(=O)CCc1ccc(C(=O)O)cc1)C(=O)N1CCCC1,3.002,1637768807640.5562
COc1cccc(C(=O)NCCCN[C@@H](C)c2ncccn2)c1,2.966,1631184717956.8374
COC(=O)c1ccc(C(=O)Nc2cc(OC)c(OC)c(OC)c2)cc1,2.934,1628445050640.5334
O=S(=O)(NC[C@H](c1ccc(F)cc1)N1CCCC1)c1cccnc1,2.98,1618656793781.3813
N#Cc1cc(S(=O)(=O)NCC2(c3ccccc3)COC2)ccc1F,2.896,1600574418058.3242
CC[C@H](C)C(=O)N[C@@H]1CCCN(C(=O)COCc2ccncc2)CC1,2.848,1594444320711.5532
O=C(COCc1ccncc1)N1CC[C@@H]2[C@H](CCN2C/C=C/Cl)C1,2.896,1584609687976.0093
O=C(N[C@H]1CC[C@H](O)CC1)N1CCN(c2ccccc2Cl)CC1,2.882,1578302435757.781
COCC(=O)NC[C@H]1CC[C@H](NC(=O)c2ccc(C)c(F)c2)CC1,2.826,1575262007943.9658
NC[C@@H]1CCCN(C(=O)C(=O)Nc2cccc(Cl)c2)C1,2.848,1573449764314.187
CN(C(=O)Cc1ccc(Cl)cc1)C1CN(CC[C@@H]2CCOC2)C1,2.9,1572929911922.9836
O=C(N[C@H]1C[C@H](C(=O)O)C1)c1cc(-c2cccs2)on1,2.92,1571893859574.757
CCc1ccc(CN2CCC(N(C)C(=O)Cc3cnoc3)CC2)cc1,2.84,1566949958655.8838
CC[C@@H](F)CN(C)[C@@H]1CCN(C(=O)COCc2ccncc2)C1,2.778,1553122022514.1973
COc1cccc(C(=O)N2CCC(NC(=O)OC3CCCC3)CC2)c1,2.79,1546601803091.5952
CCc1c(C(=O)Nc2cc(C)on2)cnn1-c1ccccc1,2.806,1544547628191.7449
CCN(C(=O)Cc1ccc(C)cc1)[C@H]1CCN(CCO)C1,2.822,1522488492759.284
O=C(CNC(=O)c1ccccc1)NCCCCc1ccccc1,2.732,1515131215831.4602
O=C(NCCCCc1ccccc1)c1ccncc1,2.712,1500476794292.9807
O=C(Nc1ccnc(N2CCOCC2)c1)Nc1ccc(F)c(F)c1,2.662,1466477819430.4
O=C(Nc1cccc2cccnc21)[C@H]1CCn2ccnc2C1,2.698,1465535203154.3547
Cc1sc2ncnc(SCC(=O)N3CCOCC3)c2c1C,2.64,1462375937626.1538
O=C(Nc1ccc(-n2cccn2)c(F)c1)c1ccc(-n2ccnc2)nc1,2.69,1460607723347.8625
COC(=O)c1n[nH]c(C)c1NC(=O)Cc1ccc2ccccc2c1,2.614,1456915755894.859
Cc1noc([C@H]2CCCN(C(=O)c3ccc4[nH]ccc4c3)C2)n1,2.616,1456205925454.1316
CC(=O)Nc1sc(-c2ccccc2)cc1C(N)=O,2.614,1453040253373.8953
CCOc1ccc2nc(NC(=O)CNC(=O)O)sc2c1,2.614,1449570195119.0547
C=CCOC(=O)N1CCN(Cc2ccc(OC)c(Cl)c2)CC1,2.59,1448871373728.3445
FC(F)(F)C(F)(F)c1nnc2ccc(-n3ccnc3)nn21,2.614,1448816044129.801
